State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
VA,Greater Richmond Transit Company (GRTC Transit System),3006,B,MB,FT,138,"541,641","101,369","15,821","93,600","752,431",0,278.0 ,49.0 ,11.0 ,48.0 ,386.0 ,0.0 
VA,Greater Richmond Transit Company (GRTC Transit System),3006,B,MB,PT,138,"45,714","15,725","1,165","3,120","65,724",0,26.0 ,9.0 ,1.0 ,2.0 ,38.0 ,0.0 
VA,Greater Roanoke Transit Company (Valley Metro),3007,B,MB,FT,32,"137,072","19,665","7,735","16,720","181,192",0,78.0 ,11.0 ,4.0 ,9.0 ,102.0 ,0.0 
VA,Greater Roanoke Transit Company (Valley Metro),3007,B,MB,PT,32,0,"3,120",0,"2,100","5,220",0,0.0 ,3.0 ,0.0 ,1.5 ,4.5 ,0.0 
VA,Petersburg Area Transit (PAT),3009,A,DR,FT,3,"4,080",0,0,"2,048","6,128",0,2.0 ,0.0 ,0.0 ,1.0 ,3.0 ,0.0 
VA,Petersburg Area Transit (PAT),3009,A,DR,PT,3,"3,872",0,0,0,"3,872",0,3.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 
VA,Petersburg Area Transit (PAT),3009,A,MB,FT,11,"37,947","8,320",0,"6,272","52,539",0,17.0 ,4.0 ,0.0 ,4.0 ,25.0 ,0.0 
VA,Petersburg Area Transit (PAT),3009,A,MB,PT,11,"11,299",0,"2,500",0,"13,799",0,10.0 ,0.0 ,3.0 ,0.0 ,13.0 ,0.0 
VA,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit (HRT)",3083,B,MB,FT,282,"927,691","249,680","38,277","274,816","1,490,464",0,451.0 ,122.0 ,19.0 ,153.0 ,745.0 ,0.0 
VA,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit (HRT)",3083,B,MB,PT,282,"125,411",0,"2,405","1,611","129,427",0,75.0 ,0.0 ,4.0 ,5.0 ,84.0 ,0.0 
VA,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit (HRT)",3083,B,VP,FT,38,0,"1,198",0,"1,027","2,225",0,0.0 ,0.7 ,0.0 ,1.0 ,1.7 ,0.0 
VA,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit (HRT)",3083,B,VP,PT,38,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
VA,Williamsburg Area Transport (WAT),3076,B,DR,FT,3,"4,400",0,0,"1,664","6,064",0,2.0 ,0.0 ,0.0 ,0.8 ,2.8 ,0.0 
VA,Williamsburg Area Transport (WAT),3076,B,DR,PT,3,"3,185",0,0,0,"3,185",0,5.0 ,0.0 ,0.0 ,0.0 ,5.0 ,0.0 
VA,Williamsburg Area Transport (WAT),3076,B,MB,FT,11,"39,548",0,0,"6,656","46,204",0,18.0 ,0.0 ,0.0 ,3.2 ,21.2 ,0.0 
VA,Williamsburg Area Transport (WAT),3076,B,MB,PT,11,"18,967",0,0,0,"18,967",0,25.0 ,0.0 ,0.0 ,0.0 ,25.0 ,0.0 
VT,Chittenden County Transportation Authority (CCTA),1066,B,MB,FT,43,"106,415","28,705",562,"43,008","178,690",0,61.0 ,15.0 ,0.3 ,20.8 ,97.1 ,0.0 
VT,Chittenden County Transportation Authority (CCTA),1066,B,MB,PT,43,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
VT,Chittenden County Transportation Authority (CCTA),1066,B,VP,FT,3,0,90,0,620,710,0,0.0 ,0.0 ,0.0 ,0.3 ,0.3 ,0.0 
