State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,MB,FT,47,"206,132.0","51,456.0",0.0,"21,989.0","279,577.0","1,864.0",102.5,26.5,0.0,11.0,140.0,1.0,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,MB,PT,47,0.0,0.0,0.0,"2,665.0","2,665.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0,
,,,,Total,,72,"267,215.0","57,234.0",0.0,"29,780.0","354,229.0","1,864.0",134.3,30.0,0.0,15.7,180.0,1.0,
AR,Fort Smith Transit(FST),6086,City,DR,FT,4,"17,423.0","3,428.0",0.0,"2,770.0","23,621.0",0.0,9.2,2.0,0.0,1.6,12.8,0.0,
AR,Fort Smith Transit(FST),6086,City,DR,PT,4,"1,812.0",0.0,0.0,0.0,"1,812.0",0.0,1.2,0.0,0.0,0.0,1.2,0.0,
AR,Fort Smith Transit(FST),6086,City,MB,FT,6,"26,134.0","5,142.0",0.0,"4,155.0","35,431.0",0.0,13.8,3.0,0.0,2.4,19.2,0.0,
AR,Fort Smith Transit(FST),6086,City,MB,PT,6,"2,719.0",0.0,0.0,0.0,"2,719.0",0.0,1.8,0.0,0.0,0.0,1.8,0.0,
,,,,Total,,10,"48,088.0","8,570.0",0.0,"6,925.0","63,583.0",0.0,26.0,5.0,0.0,4.0,35.0,0.0,
AR,Ozark Regional Transit(ORT),6072,Agency,DR,FT,8,"23,793.0","1,992.0",0.0,"1,992.0","27,777.0",0.0,12.0,1.0,0.0,1.0,14.0,0.0,
AR,Ozark Regional Transit(ORT),6072,Agency,DR,PT,8,"4,302.0",0.0,"1,355.0",0.0,"5,657.0",0.0,3.0,0.0,1.0,0.0,4.0,0.0,
AR,Ozark Regional Transit(ORT),6072,Agency,MB,FT,13,"42,117.0","3,798.0",0.0,"1,992.0","47,907.0",0.0,22.0,2.0,0.0,1.0,25.0,0.0,
AR,Ozark Regional Transit(ORT),6072,Agency,MB,PT,13,"2,804.0",0.0,"2,167.0",364.0,"5,335.0",0.0,6.0,0.0,2.0,1.0,9.0,0.0,
,,,,Total,,21,"73,016.0","5,790.0","3,522.0","4,348.0","86,676.0",0.0,43.0,3.0,3.0,3.0,52.0,0.0,
AZ,City of Glendale Transit,9034,City,DR,FT,14,"33,451.0","3,145.0",169.0,"12,445.0","49,210.0",0.0,19.1,1.8,0.1,7.1,28.1,0.0,
AZ,City of Glendale Transit,9034,City,DR,PT,14,"18,068.0",0.0,0.0,0.0,"18,068.0",0.0,16.4,0.0,0.0,0.0,16.4,0.0,
AZ,City of Glendale Transit,9034,City,MB,FT,3,"1,515.0",972.0,57.0,"5,172.0","7,716.0",0.0,0.9,0.6,0.0,2.9,4.4,0.0,
AZ,City of Glendale Transit,9034,City,MB,PT,3,"9,017.0",0.0,0.0,0.0,"9,017.0",0.0,7.6,0.0,0.0,0.0,7.6,0.0,
,,,,Total,,17,"62,051.0","4,117.0",226.0,"17,617.0","84,011.0",0.0,44.0,2.4,0.1,10.0,56.5,0.0,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,DR,FT,25,"54,543.0",0.0,0.0,"7,597.0","62,140.0",0.0,29.0,0.0,0.0,5.0,34.0,0.0,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,DR,PT,25,"2,117.0",0.0,0.0,"1,510.0","3,627.0",0.0,2.0,0.0,0.0,1.0,3.0,0.0,
,,,,Total,,25,"56,660.0",0.0,0.0,"9,107.0","65,767.0",0.0,31.0,0.0,0.0,6.0,37.0,0.0,
AZ,City of Tucson(COT),9033,City,DR,FT,115,"292,151.0",0.0,"7,071.0","20,726.0","319,948.0",0.0,153.0,0.0,3.0,10.0,166.0,0.0,
AZ,City of Tucson(COT),9033,City,DR,PT,115,"111,420.0",0.0,0.0,0.0,"111,420.0",0.0,71.0,0.0,0.0,0.0,71.0,0.0,
AZ,City of Tucson(COT),9033,City,MB,FT,200,"782,532.0","206,151.0","18,260.0","89,550.0","1,096,493.0",0.0,402.0,114.0,10.0,42.0,568.0,0.0,
AZ,City of Tucson(COT),9033,City,MB,PT,200,"37,607.0","1,456.0",0.0,0.0,"39,063.0",0.0,35.0,1.0,0.0,0.0,36.0,0.0,
,,,,Total,,315,"1,223,710.0","207,607.0","25,331.0","110,276.0","1,566,924.0",0.0,661.0,115.0,13.0,52.0,841.0,0.0,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,DR,FT,6,"11,579.0","1,749.0","1,009.0","9,623.0","23,960.0",0.0,6.0,1.0,0.8,7.0,14.8,0.0,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,DR,PT,6,"3,406.0",237.0,142.0,166.0,"3,951.0",0.0,4.0,0.4,0.4,0.4,5.2,0.0,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,MB,FT,11,"61,780.0","6,994.0","4,036.0","18,790.0","91,600.0",0.0,39.0,4.0,3.2,12.0,58.2,0.0,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,MB,PT,11,"14,035.0",948.0,567.0,662.0,"16,212.0",0.0,25.0,1.6,1.6,1.6,29.8,0.0,
,,,,Total,,17,"90,800.0","9,928.0","5,754.0","29,241.0","135,723.0",0.0,74.0,7.0,6.0,21.0,108.0,0.0,
AZ,Peoria Transit,9140,City,DR,FT,7,"5,795.0",729.0,611.0,"5,265.0","12,400.0",0.0,3.0,0.4,0.3,3.0,6.7,0.0,
AZ,Peoria Transit,9140,City,DR,PT,7,"4,968.0",0.0,0.0,"1,147.0","6,115.0",0.0,5.0,0.0,0.0,2.0,7.0,0.0,
,,,,Total,,7,"10,763.0",729.0,611.0,"6,412.0","18,515.0",0.0,8.0,0.4,0.3,5.0,13.7,0.0,
AZ,"Phoenix - VPSI, Inc.",9169,Contractor,VP,FT,355,0.0,0.0,0.0,"6,800.0","6,800.0",0.0,0.0,0.0,0.0,4.0,4.0,0.0,
AZ,"Phoenix - VPSI, Inc.",9169,Contractor,VP,PT,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,Total,,355,0.0,0.0,0.0,"6,800.0","6,800.0",0.0,0.0,0.0,0.0,4.0,4.0,0.0,
AZ,Surprise Dial-A-Ride Transit System(Surprise DAR),9137,City,DR,FT,7,"15,294.0",0.0,0.0,"1,886.0","17,180.0",0.0,8.0,0.0,0.0,1.0,9.0,0.0,
AZ,Surprise Dial-A-Ride Transit System(Surprise DAR),9137,City,DR,PT,7,"1,040.0",0.0,0.0,0.0,"1,040.0",0.0,1.0,0.0,0.0,0.0,1.0,0.0,
,,,,Total,,7,"16,334.0",0.0,0.0,"1,886.0","18,220.0",0.0,9.0,0.0,0.0,1.0,10.0,0.0,
CA, Alameda-Contra Costa Transit District(AC Transit),9014,Agency,MB,FT,493,"2,288,056.0","609,746.0","89,101.0","400,439.0","3,387,342.0",0.0,"1,332.0",325.0,45.0,234.0,"1,936.0",0.0,
CA, Alameda-Contra Costa Transit District(AC Transit),9014,Agency,MB,PT,493,"9,097.0",0.0,0.0,"1,875.0","10,972.0",0.0,5.0,0.0,0.0,1.0,6.0,0.0,
,,,,Total,,493,"2,297,153.0","609,746.0","89,101.0","402,314.0","3,398,314.0",0.0,"1,337.0",325.0,45.0,235.0,"1,942.0",0.0,
CA,Central Contra Costa Transit Authority(County Connection),9078,Agency,MB,FT,85,"280,270.0","54,018.0","9,354.0","55,198.0","398,840.0",0.0,152.0,30.0,5.0,31.0,218.0,0.0,
CA,Central Contra Costa Transit Authority(County Connection),9078,Agency,MB,PT,85,"7,500.0",0.0,0.0,"5,600.0","13,100.0",0.0,5.0,0.0,0.0,4.0,9.0,0.0,
,,,,Total,,85,"287,770.0","54,018.0","9,354.0","60,798.0","411,940.0",0.0,157.0,30.0,5.0,35.0,227.0,0.0,
CA,City of Commerce Municipal Buslines(CBL),9043,City,DR,FT,3,"3,502.0",750.0,"1,019.0",581.0,"5,852.0",0.0,1.6,0.6,0.5,0.3,3.0,0.0,
CA,City of Commerce Municipal Buslines(CBL),9043,City,DR,PT,3,"2,000.0",570.0,0.0,0.0,"2,570.0",0.0,0.8,0.3,0.0,0.0,1.1,0.0,
CA,City of Commerce Municipal Buslines(CBL),9043,City,MB,FT,6,"18,816.0","4,131.0",855.0,"4,386.0","28,188.0",0.0,10.0,2.2,0.7,2.3,15.2,0.0,
CA,City of Commerce Municipal Buslines(CBL),9043,City,MB,PT,6,"9,384.0","3,305.0",0.0,"1,005.0","13,694.0",0.0,18.6,5.2,0.0,1.0,24.8,0.0,
,,,,Total,,9,"33,702.0","8,756.0","1,874.0","5,972.0","50,304.0",0.0,31.0,8.3,1.2,3.6,44.1,0.0,
CA,City of Gardena Transportation Department(GMBL),9042,City,DR,FT,7,"2,164.0",485.0,0.0,"2,203.0","4,852.0",0.0,1.0,0.3,0.0,1.2,2.5,0.0,
CA,City of Gardena Transportation Department(GMBL),9042,City,DR,PT,7,"11,847.0",517.0,0.0,361.0,"12,725.0",0.0,7.0,3.0,0.0,0.2,10.2,0.0,
CA,City of Gardena Transportation Department(GMBL),9042,City,MB,FT,43,"113,373.0","29,768.0",732.0,"15,071.0","158,944.0",0.0,61.0,18.0,0.4,12.0,91.4,0.0,
CA,City of Gardena Transportation Department(GMBL),9042,City,MB,PT,43,"36,302.0","6,610.0",0.0,793.0,"43,705.0",0.0,21.0,4.0,0.0,2.0,27.0,0.0,
,,,,Total,,50,"163,686.0","37,380.0",732.0,"18,428.0","220,226.0",0.0,90.0,25.3,0.4,15.4,131.1,0.0,
CA,City of Riverside Special Transportation(City of Riverside),9086,City,DR,FT,24,"25,158.0","1,386.0",0.0,"8,104.0","34,648.0",0.0,16.0,1.0,0.0,4.0,21.0,0.0,
