State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
NY,"Centro of Oswego, Inc.(Centro of Oswego)",2172,Subsidiary,MB,FT,12,"21,760.0","5,605.0",0.0,"2,071.0","29,436.0",0.0,11.0,3.0,0.0,1.0,15.0,0.0,
NY,"Centro of Oswego, Inc.(Centro of Oswego)",2172,Subsidiary,MB,PT,12,"20,243.0",0.0,726.0,0.0,"20,969.0",0.0,15.0,0.0,1.5,0.0,16.5,0.0,
NY,City of Long Beach(Long Beach Bus),2006,City,DR,FT,3,"6,082.0",225.0,0.0,510.0,"6,817.0",0.0,3.0,0.2,0.0,0.3,3.5,0.0,
NY,City of Long Beach(Long Beach Bus),2006,City,DR,PT,3,"7,982.0",0.0,427.0,400.0,"8,809.0",0.0,5.0,0.0,1.0,1.0,7.0,0.0,
NY,City of Long Beach(Long Beach Bus),2006,City,MB,FT,5,"22,942.0","5,821.0",0.0,"1,500.0","30,263.0",0.0,11.0,3.0,0.0,0.7,14.7,0.0,
NY,City of Long Beach(Long Beach Bus),2006,City,MB,PT,5,"13,127.0",0.0,571.0,"1,724.0","15,422.0",0.0,22.0,0.0,1.0,1.0,24.0,0.0,
NY,City of Poughkeepsie,2009,City,MB,FT,6,"19,679.0","1,958.0",301.0,308.0,"22,246.0",0.0,8.5,1.0,0.3,0.2,10.0,0.0,
NY,City of Poughkeepsie,2009,City,MB,PT,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NY,Dutchess County Division of Mass Transportation(Loop Bus),2010,City,DR,FT,18,"49,134.0","9,083.0","1,079.0","4,019.0","63,315.0",0.0,31.0,5.0,0.5,2.0,38.5,0.0,
NY,Dutchess County Division of Mass Transportation(Loop Bus),2010,City,DR,PT,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NY,Dutchess County Division of Mass Transportation(Loop Bus),2010,City,MB,FT,26,"53,708.0","10,410.0","1,125.0","3,970.0","69,213.0",0.0,32.0,5.0,0.5,2.0,39.5,0.0,
NY,Dutchess County Division of Mass Transportation(Loop Bus),2010,City,MB,PT,26,"1,012.0",0.0,0.0,0.0,"1,012.0",0.0,3.0,0.0,0.0,0.0,3.0,0.0,
NY,Huntington Area Rapid Transit(HART),2071,City,DR,FT,11,"16,704.0","3,609.0",213.0,"1,439.0","21,965.0",0.0,9.1,2.0,0.1,1.1,12.3,0.0,
NY,Huntington Area Rapid Transit(HART),2071,City,DR,PT,11,"10,640.0",0.0,642.0,0.0,"11,282.0",0.0,7.2,0.0,0.5,0.0,7.7,0.0,
NY,Huntington Area Rapid Transit(HART),2071,City,MB,FT,10,"20,370.0","4,981.0",214.0,"1,756.0","27,321.0",0.0,11.2,2.7,0.1,1.2,15.2,0.0,
NY,Huntington Area Rapid Transit(HART),2071,City,MB,PT,10,"12,976.0",0.0,643.0,0.0,"13,619.0",0.0,8.8,0.0,0.5,0.0,9.3,0.0,
NY,MTA Bus Company(MTABUS),2188,Subsidiary,MB,FT,"1,050","4,341,750.0","1,713,051.0","167,734.0","160,387.0","6,382,922.0","41,658.0","2,436.0",923.0,83.0,116.0,"3,558.0",20.0,
NY,MTA Bus Company(MTABUS),2188,Subsidiary,MB,PT,"1,050","37,332.0",0.0,0.0,"1,339.0","38,671.0",0.0,45.0,0.0,0.0,3.0,48.0,0.0,
