State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
SD,Rapid Transit System,8014,A,MB,PT,5,"1,040",0,0,0,"1,040",0,0.5,0,0,0,0.5,0
SD,Sioux Falls Transit,8002,B,DR,FT,20,"60,851","6,264","3,514","2,997","73,626",0,25.5,3.5,1.7,1.7,32.4,0
SD,Sioux Falls Transit,8002,B,DR,PT,20,"4,457",0,0,707,"5,164",0,7.8,0,0,0.4,8.2,0
SD,Sioux Falls Transit,8002,B,MB,FT,28,"57,007","8,212","4,612","3,937","73,768",0,33.5,4.5,2.3,2.3,42.6,0
SD,Sioux Falls Transit,8002,B,MB,PT,28,"13,734",0,0,925,"14,659",0,10.2,0,0,0.6,10.8,0
TN,Chattanooga Area Regional Transportation Authority (CARTA),4001,B,DR,FT,12,"16,716",0,0,0,"16,716",0,8,0,0,0,8,0
TN,Chattanooga Area Regional Transportation Authority (CARTA),4001,B,DR,PT,12,"29,266",27,0,0,"29,293",0,32,1,0,0,33,0
TN,Chattanooga Area Regional Transportation Authority (CARTA),4001,B,IP,FT,2,"12,950",0,0,0,"12,950",0,7,0,0,0,7,0
TN,Chattanooga Area Regional Transportation Authority (CARTA),4001,B,IP,PT,2,"3,306",79,0,575,"3,960",0,10,1,0,1,12,0
TN,Chattanooga Area Regional Transportation Authority (CARTA),4001,B,MB,FT,49,"175,281","61,081",0,"24,168","260,530",0,92,30,0,12,134,0
TN,Chattanooga Area Regional Transportation Authority (CARTA),4001,B,MB,PT,49,"7,807","7,584","1,852","4,116","21,359",0,8,6,3,4,21,0
TN,Clarksville Transit System (CTS),4092,A,DR,FT,6,"12,078","1,561","2,601","6,290","22,530",0,6.3,0.8,1.4,3.4,11.9,0
TN,Clarksville Transit System (CTS),4092,A,DR,PT,6,"9,997",0,506,452,"10,955",0,5.7,0,0.3,0.3,6.3,0
TN,Clarksville Transit System (CTS),4092,A,MB,FT,12,"44,379","4,014","6,688","6,634","61,715",0,24.3,2.2,3.6,3.6,33.7,0
TN,Clarksville Transit System (CTS),4092,A,MB,PT,12,"17,747",0,"1,301",0,"19,048",0,10,0,0.7,0,10.7,0
TN,Jackson Transit Authority (JTA),4057,A,DR,FT,5,"13,129","3,796",0,"1,872","18,797",0,6.2,1.8,0,0.9,8.9,0
TN,Jackson Transit Authority (JTA),4057,A,DR,PT,5,"1,722",308,0,0,"2,030",0,1.5,0.3,0,0,1.8,0
TN,Jackson Transit Authority (JTA),4057,A,MB,FT,8,"45,624","8,858",0,"4,368","58,850",0,21.8,4.2,0,2.1,28.1,0
