"","agency","agencyid","organizationtype","state","county","city"
"238","San Luis Obispo Regional Transit Authority","9206","Authority","CA","San Luis Obispo County","San Luis Obispo"
"239","Santa Clarita Transit","9171","City","CA","Los Angeles County","Santa Clarita"
"240","Santa Maria Area Transit","9087","City","CA","Santa Barbara County","Santa Maria"
"241","Santa Maria Area Transit","9087","City","CA","Santa Barbara County","Santa Maria"
"242","Santa Monica's Big Blue Bus","9008","City","CA","Los Angeles County","Santa Monica"
"243","City of Santa Rosa","9017","City","CA","Sonoma County","Santa Rosa"
"244","Sarasota County Area Transit","4046","City","FL","Sarasota County","Sarasota"
"245","Sarasota County Area Transit","4046","City","FL","Sarasota County","Sarasota"
"246","Sarasota County Area Transit","4046","City","FL","Sarasota County","Sarasota"
"247","Chatham Area Transit Authority","4025","Authority","GA","Chatham County","Savannah"
"248","County of Lackawanna Transit System","3025","Authority","PA","Lackawanna County","Scranton"
"249","Central Puget Sound Regional Transit Authority","0040","Authority","WA","King County","Seattle"
"250","City of Seattle - Seattle Center Monorail Transit","0023","City","WA","King County","Seattle"
"251","City of Seattle - Seattle Center Monorail Transit","0023","City","WA","King County","Seattle"
"252","Central Puget Sound Regional Transit Authority","0040","Authority","WA","King County","Seattle"
"253","King County Department of Transportation - Metro Transit Division","0001","City","WA","King County","Seattle"
"254","Shreveport Area Transit System","6024","City","LA","Caddo Parish","Shreveport"
"255","South Bend Public Transportation Corporation","5052","Authority","IN","St. Joseph County",""
"256","County of Volusia, dba: VOTRAN","4032","City","FL","Volusia County","South Daytona"
"257","Springfield Mass Transit District","5059","Authority","IL","Sangamon County","Springfield"
"258","Pioneer Valley Transit Authority","1008","Authority","MA","Hampden County",""
"259","City Utilities of Springfield","7003","City","MO","Greene County","Springfield"
"260","Centre Area Transportation Authority","3054","Authority","PA","Centre County","State College"
"261","Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway","2099","Authority","NY","Richmond County","Staten Island"
"262","San Joaquin Regional Transit District","9012","Authority","CA","San Joaquin County","Stockton"
"263","San Joaquin Regional Transit District","9012","Authority","CA","San Joaquin County","Stockton"
"264","Altamont Corridor Express","9182","Authority","CA","San Joaquin County","Stockton"
"265","Santee Wateree Regional Transportation Authority","4100","Authority","SC","Sumter County","Sumter"
"266","Pierce County Transportation Benefit Area Authority","0003","Authority","WA","Pierce County","Tacoma"
"267","Pierce County Transportation Benefit Area Authority","0003","Authority","WA","Pierce County","Tacoma"
"268","City of Tallahassee","4036","City","FL","Leon County","Tallahassee"
"269","Greater Attleboro-Taunton Regional Transit Authority","1064","Authority","MA","Bristol County","Taunton"
"270","City of Tempe Transit Division - dba Valley Metro","9172","City","AZ","Maricopa County","Tempe"
"271","City of Tempe Transit Division - dba Valley Metro","9172","City","AZ","Maricopa County","Tempe"
"272","SunLine Transit Agency","9079","Authority","CA","Riverside County","Thousand Palms"
"273","SunLine Transit Agency","9079","Authority","CA","Riverside County","Thousand Palms"
"274","SunLine Transit Agency","9079","Authority","CA","Riverside County","Thousand Palms"
"275","Toledo Area Regional Transit Authority","5022","Authority","OH","Lucas County","Toledo"
"276","Toledo Area Regional Transit Authority","5022","Authority","OH","Lucas County","Toledo"
"277","Topeka Metropolitan Transit Authority","7014","Authority","KS","Shawnee County","Topeka"
"278","Topeka Metropolitan Transit Authority","7014","Authority","KS","Shawnee County","Topeka"
"279","Topeka Metropolitan Transit Authority","7014","Authority","KS","Shawnee County","Topeka"
"280","City of Tucson","9033","City","AZ","Pima County","Tucson"
"281","City of Tucson","9033","City","AZ","Pima County","Tucson"
"282","City of Tucson","9033","City","AZ","Pima County","Tucson"
"283","Champaign-Urbana Mass Transit District","5060","Authority","IL","Champaign County","Urbana"
"284","Clark County Public Transportation Benefit Area Authority","0024","Authority","WA","Clark County","Vancouver"
"285","Clark County Public Transportation Benefit Area Authority","0024","Authority","WA","Clark County","Vancouver"
"286","Clark County Public Transportation Benefit Area Authority","0024","Authority","WA","Clark County","Vancouver"
"287","Ventura Intercity Service Transit Authority","9164","Authority","CA","Ventura County","Ventura"
"288","City of Visalia - Visalia City Coach","9091","City","CA","Tulare County","Visalia"
"289","Waco Transit System, Inc.","6012","City","TX","McLennan County","Waco"
"290","Waco Transit System, Inc.","6012","City","TX","McLennan County","Waco"
"291","Washington Metropolitan Area Transit Authority","3030","Authority","DC","District of Columbia","Washington"
"292","City of Waukesha Transit Commission","5096","City","WI","Waukesha County","Waukesha"
"293","City of Waukesha Transit Commission","5096","City","WI","Waukesha County","Waukesha"
"294","Foothill Transit","9146","Authority","CA","Los Angeles County","West Covina"
"295","Board of County Commissioners, Palm Beach County, PalmTran, Inc.","4037","City","FL","Palm Beach County","West Palm Beach"
"296","Board of County Commissioners, Palm Beach County, PalmTran, Inc.","4037","City","FL","Palm Beach County","West Palm Beach"
"297","Wichita Transit","7015","City","KS","Sedgwick County","Wichita"
"298","Cape Fear Public Transportation Authority","4006","Authority","NC","New Hanover County","Wilmington"
"299","Cape Fear Public Transportation Authority","4006","Authority","NC","New Hanover County","Wilmington"
"300","Potomac and Rappahannock Transportation Commission","3070","Authority","VA","Prince William County","Woodbridge"
"301","Potomac and Rappahannock Transportation Commission","3070","Authority","VA","Prince William County","Woodbridge"
"302","Yolo County Transportation District","9090","Authority","CA","Yolo County","Woodland"
"303","Yakima Transit","0006","City","WA","Yakima County","Yakima"
"304","York County Transportation Authority","3027","Authority","PA","York County","York"
"305","York County Transportation Authority","3027","Authority","PA","York County","York"
"306","Western Reserve Transit Authority","5024","Authority","OH","Mahoning County","Youngstown"
