AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc
9062,DR,PT,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9062,MB,DO,                ,                ,"724,736",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9062,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9078,DR,PT,                ,                ,                ,"227,692",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9078,MB,DO,                ,                ,"688,745",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9079,DR,DO,                ,                ,                ,                ,                ,                ,                ,                ,"136,748",                ,                ,                ,                ,                ,Hydrogen.                                                                                           
9079,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,"936,111",                ,                ,                ,"4,707",                ,Hydrogen.                                                                                           
9086,DR,DO,                ,                ,                ,437,                ,                ,                ,                ,"123,082",                ,                ,                ,                ,                ,                                                                                                    
9087,DR,PT,                ,                ,"7,345","21,934",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9087,MB,PT,                ,                ,"223,072",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9088,DR,PT,                ,                ,"28,347","21,650",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9088,MB,PT,                ,                ,"152,819","46,121",                ,                ,                ,                ,"55,001",                ,                ,                ,                ,737,                                                                                                    
9089,DR,PT,                ,                ,                ,"65,286",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9089,MB,DO,                ,                ,                ,"12,675",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9089,MB,PT,                ,                ,                ,"16,558",                ,                ,                ,                ,"343,798",                ,                ,                ,                ,                ,                                                                                                    
9090,DR,PT,                ,                ,"21,454","4,745",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9090,MB,PT,                ,                ,"56,637",                ,                ,                ,                ,                ,"517,577",                ,                ,                ,                ,                ,                                                                                                    
9091,DR,PT,                ,                ,                ,                ,                ,                ,                ,                ,"90,780",                ,                ,                ,                ,                ,                                                                                                    
9091,MB,PT,                ,                ,"100,335",                ,                ,                ,                ,                ,"363,122",                ,                ,                ,                ,                ,                                                                                                    
9092,DR,PT,                ,                ,"14,701","9,969",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9092,MB,PT,                ,                ,"348,151",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9093,DR,PT,                ,                ,"78,645",                ,"75,125",                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9093,MB,PT,                ,                ,"78,190",                ,"3,682",                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9095,VP,PT,                ,                ,                ,"869,103",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9119,MB,DO,                ,                ,                ,"8,409","60,581",                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9121,DR,PT,                ,                ,                ,"58,808",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9121,MB,PT,                ,                ,"511,020","36,194",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9131,MB,PT,                ,                ,                ,                ,                ,"99,486",                ,                ,                ,                ,                ,                ,                ,"122,708",                                                                                                    
9134,CR,PT,                ,                ,"4,252,872",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9134,MB,PT,                ,                ,"73,742","81,372",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9136,DR,PT,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"273,091",                                                                                                    
9136,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,"1,955,276",                ,                ,                ,                ,"290,187",                                                                                                    
9137,DR,DO,                ,                ,                ,"19,567",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9140,DR,DO,                ,                ,                ,"25,562",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9142,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,"240,977",                ,                ,                ,                ,"15,633",                                                                                                    
9144,DR,PT,                ,                ,"47,305",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9144,MB,PT,                ,                ,"381,537",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9144,RB,PT,                ,                ,"39,255",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9146,MB,PT,                ,"21,555","301,727",                ,                ,                ,                ,                ,"4,492,451",                ,                ,                ,                ,                ,                                                                                                    
9147,CB,PT,                ,                ,"938,973","53,660",                ,                ,                ,                ,"83,047",                ,                ,                ,                ,                ,                                                                                                    
9147,DR,PT,                ,                ,                ,"137,791",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9147,MB,PT,                ,                ,"1,764,701","107,255","2,365,879",                ,                ,                ,687,                ,                ,                ,                ,                ,                                                                                                    
