AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total,,
0029,MB,PT,                ,                ,"693,403",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,693403,,
0029,MB,DO,                ,                ,"1,916,914",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1916914,,
0034,DR,PT,                ,                ,"3,534","35,820",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,39354,,
0034,MB,DO,                ,                ,"31,200",0,                ,                ,                ,                ,"125,738",                ,                ,                ,                ,                ,                                                                                                    ,156938,,
0035,FB,DO,                ,                ,"16,675,796",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"168,822",                                                                                                    ,16844618,,
0040,LR,DO,"413,030",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,413030,,
0040,MB,PT,                ,                ,"581,379",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,581379,,
0040,CR,PT,                ,                ,"1,119,629",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1119629,,
0040,MB,DO,                ,                ,"2,236,995",                ,                ,                ,                ,                ,"205,911",                ,                ,                ,                ,                ,                                                                                                    ,2442906,,
0040,LR,PT,"4,812,927",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,4812927,,
0041,AR,DO,                ,                ,"121,756",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,121756,,
0042,MB,DO,                ,0,"1,179","27,990",0,0,0,0,0,0,0,0,0,0,                                                                                                    ,29169,,
0042,DR,DO,                ,0,"22,779","45,588",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,68367,,
0043,VP,DO,                ,                ,                ,467,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,467,,
0043,DR,PT,                ,                ,237,"5,129",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,5366,,
0043,DR,DO,                ,                ,"15,685","18,039",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,33724,,
0043,MB,DO,                ,                ,"288,818",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,288818,,
0044,DR,DO,                ,                ,"40,931",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,40931,,
0044,VP,DO,                ,                ,                ,"48,805",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,48805,,
0044,MB,DO,                ,                ,"139,362",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,139362,,
0045,DR,DO,                ,0,"19,799",25,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,19824,,
0045,MB,DO,                ,0,"88,787","1,180",0,0,0,0,0,0,0,0,0,0,                                                                                                    ,89967,,
0046,DR,DO,                ,                ,"16,831","2,512",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,19343,,
0046,MB,DO,                ,                ,"59,674",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,59674,,
0047,DR,PT,                ,                ,120,480,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,600,,
0047,MB,PT,                ,                ,                ,"3,615",                ,                ,                ,                ,                ,                ,                ,                ,                ,"84,922",                                                                                                    ,88537,,
0049,VP,DO,                ,                ,                ,"96,661",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,96661,,
0050,DR,PT,                ,                ,                ,"32,784",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,32784,,
0050,MB,PT,                ,                ,"10,523","28,920",                ,                ,                ,                ,                ,                ,                ,                ,                ,"1,814",                                                                                                    ,41257,,
0052,VP,PT,                ,0,0,"27,335",0,0,0,0,0,0,0,0,0,0,                                                                                                    ,27335,,
0053,DR,DO,                ,                ,0,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,0,,
0053,MB,DO,                ,0,"61,740",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,61740,,
0054,FB,DO,                ,                ,"43,750",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,43750,,
1001,DR,PT,                ,                ,"87,014","28,134",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,115148,,
1001,DR,DO,                ,                ,"395,979",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,395979,,
1001,MB,DO,                ,                ,"2,243,881",                ,                ,                ,                ,                ,"145,872",0,                ,                ,                ,                ,                                                                                                    ,2389753,,
1002,DR,DO,                ,                ,"4,020","9,938",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,13958,,
1002,MB,DO,                ,                ,"109,255",50,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,109305,,
1003,MB,PT,                ,                ,"237,600","31,946",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,269546,,
1003,FB,PT,                ,                ,"1,286,464",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1286464,,
1003,DR,PT,                ,                ,                ,"1,976,832",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1976832,,
1003,TB,DO,"6,124,197",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,6124197,,
1003,MB,DO,                ,                ,"5,556,772",                ,                ,                ,                ,                ,"3,925,249",                ,                ,                ,                ,                ,                                                                                                    ,9482021,,
1003,CR,PT,                ,                ,"13,769,227",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,13769227,,
1003,LR,DO,"54,477,576",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,54477576,,
1003,HR,DO,"200,087,025",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,200087025,,
1004,DR,PT,                ,                ,"84,594",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,84594,,
1004,MB,PT,                ,                ,"406,925",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,406925,,
1005,DR,DO,                ,                ,                ,"19,113",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,19113,,
1005,DR,PT,                ,                ,                ,"49,746",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,49746,,
1005,MB,DO,                ,                ,"196,774","29,418",                ,                ,                ,                ,"49,746",                ,                ,                ,                ,                ,                                                                                                    ,275938,,
1006,DR,PT,                ,                ,"55,479",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,55479,,
1006,MB,PT,                ,                ,"299,877",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,299877,,
1007,DR,PT,                ,                ,"10,421","56,780",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,67201,,
1007,MB,PT,                ,                ,"151,439",944,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,152383,,
1008,DR,PT,                ,                ,                ,"418,693",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,418693,,
1008,MB,PT,                ,                ,"999,938",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,999938,,
1013,DR,PT,                ,                ,                ,"66,344",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,66344,,
1013,MB,PT,                ,                ,"381,508",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,381508,,
1014,DR,DO,                ,                ,"1,793","29,556",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,31349,,
1014,DR,PT,                ,                ,903,"99,977",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,100880,,
1014,MB,DO,                ,                ,"408,398",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,408398,,
1015,DR,PT,                ,0,"4,521",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,4521,,
1015,MB,PT,                ,0,"41,119",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,41119,,
1016,MB,DO,                ,                ,"86,549",                ,                ,                ,                ,                ,"143,202",                ,                ,                ,                ,                ,                                                                                                    ,229751,,
1017,MB,PT,                ,                ,"187,691",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,187691,,
1017,DR,PT,                ,                ,"221,439","176,660",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,398099,,
1040,DR,PT,                ,                ,"7,608",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,7608,,
1040,MB,DO,                ,                ,"268,416",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,268416,,
1042,DR,DO,                ,                ,"37,075",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,37075,,
1047,MB,DO,                ,                ,"126,987",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,126987,,
1048,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"2,201","1,893,070",Kilograms of hydrogen                                                                               ,1895271,,
