AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
9050,MB,DO,             ,0 ,             ,          ,          ,          ,           ,          ,"84,382 ",             ,           ,            ,              ,                ,                                                                                                    ,"84,382 "
9052,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9052,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9061,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9061,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9062,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9062,MB,DO,             ,             ,"659,507 ",          ,          ,          ,           ,          ,"30,628 ",             ,           ,            ,              ,                ,                                                                                                    ,"690,135 "
9062,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9078,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9078,MB,DO,             ,0 ,"1,006,913 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"1,006,913 "
9079,DR,DO,             ,             ,             ,          ,          ,          ,           ,          ,"113,020 ",             ,           ,            ,              ,                ,Hydrogen                                                                                            ,"113,020 "
9079,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,"793,475 ",             ,           ,            ,"4,615 ",                ,Hydrogen                                                                                            ,"798,090 "
9086,DR,DO,             ,             ,             ,117 ,"39,055 ",          ,           ,          ,"124,205 ",             ,           ,            ,              ,                ,                                                                                                    ,"163,377 "
9087,DR,PT,             ,             ,"30,189 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"30,189 "
9087,MB,PT,             ,             ,"166,161 ",          ,          ,          ,           ,          ,"2,777 ",             ,           ,            ,              ,                ,                                                                                                    ,"168,938 "
9088,DR,PT,             ,0 ,"16,376 ","9,308 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74 ,                                                                                                    ,"25,758 "
9088,MB,PT,             ,0 ,"167,649 ","15,779 ",0 ,0 ,0 ,0 ,"38,114 ",0 ,0 ,0 ,0 ,"8,962 ",                                                                                                    ,"230,504 "
9089,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9089,MB,DO,             ,             ,             ,"8,845 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"8,845 "
9089,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9090,DR,PT,             ,             ,"22,026 ","2,451 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"24,477 "
9090,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,"782,775 ",             ,           ,            ,              ,                ,                                                                                                    ,"782,775 "
9091,DR,PT,             ,             ,             ,"9,680 ",          ,          ,           ,          ,"7,737 ",             ,           ,            ,              ,                ,                                                                                                    ,"17,417 "
9091,MB,PT,             ,             ,"160,891 ","11,727 ",          ,          ,           ,          ,"69,637 ",             ,           ,            ,              ,                ,                                                                                                    ,"242,255 "
9092,DR,PT,             ,             ,"11,897 ","29,995 ",          ,          ,           ,          ,"1,608 ",             ,           ,            ,              ,                ,                                                                                                    ,"43,500 "
9092,MB,PT,             ,             ,"373,325 ",          ,          ,          ,           ,          ,"2,426 ",             ,           ,            ,              ,                ,                                                                                                    ,"375,751 "
9093,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9093,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9095,VP,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9119,MB,DO,             ,             ,             ,"5,956 ","64,124 ",          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"70,080 "
9121,DR,PT,             ,             ,"47,769 ","13,805 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"61,574 "
9121,MB,PT,             ,             ,"459,112 ","2,877 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"461,989 "
9131,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"70,720 ",                                                                                                    ,"70,720 "
9132,DR,DO,             ,             ,             ,"20,865 ","3,063 ",          ,           ,          ,          ,             ,           ,            ,              ,"89,995 ",                                                                                                    ,"113,923 "
9134,CR,PT,             ,             ,"4,442,629 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"4,442,629 "
9134,MB,PT,             ,             ,"4,442,629 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"4,442,629 "
9136,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9136,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9137,DR,DO,             ,             ,             ,"21,231 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"21,231 "
9140,DR,DO,             ,             ,             ,"27,648 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"27,648 "
9142,MB,DO,             ,             ,"9,326 ",          ,          ,          ,           ,          ,"239,791 ",             ,           ,            ,              ,                ,                                                                                                    ,"249,117 "
9144,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9144,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9146,MB,PT,             ,             ,"1,057,645 ",          ,          ,          ,           ,          ,"4,691,812 ",             ,           ,            ,              ,                ,                                                                                                    ,"5,749,457 "
