AgencyID,  mode_cd,  service_cd, kwh_propulsion,  kwh_charge_batteries,  gl_diesel_num, gl_gas_num, ec.gl_lpg_num, ec.gl_lng_num, ec.gl_meth_num, gl_eth_num,  gl_cng_num,  gl_bunker_num,  gl_kero_num, gl_grain_num,  other_fuel_num,  gl_biodiesel_num, other_energy_desc,Total
5005,DR,DO,0,0,"51,578",0,0,0,0,0,0,0,0,0,0,0,,"51,578"
5005,MB,DO,0,0,"1,238,760",0,0,0,0,0,0,0,0,0,0,0,,"1,238,760"
5006,MB,DO,0,0,"278,083",0,0,0,0,0,0,0,0,0,0,0,,"278,083"
5008,MB,DO,0,0,"4,237,509",0,0,0,0,0,0,0,0,0,0,0,,"4,237,509"
5008,VP,DO,0,0,0,"15,447",0,0,0,0,0,0,0,0,0,0,,"15,447"
5009,MB,DO,0,0,"119,034",0,0,0,0,0,0,0,0,0,0,0,,"119,034"
5010,DR,DO,0,0,"214,728",0,0,0,0,0,0,0,0,0,0,0,,"214,728"
5010,MB,DO,0,0,"608,047",0,0,0,0,0,"360,688",0,0,0,0,0,,"968,735"
5011,DR,DO,0,0,"176,612",0,0,0,0,0,0,0,0,0,0,0,,"176,612"
5011,MB,DO,0,0,"410,251",0,0,0,0,0,0,0,0,0,0,0,,"410,251"
5012,MB,DO,0,0,"3,131,779",0,0,0,0,0,0,0,0,0,0,"203,096",,"3,334,875"
5015,DR,DO,0,0,"271,723",0,0,0,0,0,0,0,0,0,0,0,,"271,723"
5015,HR,DO,"29,381,337",0,0,0,0,0,0,0,0,0,0,0,0,0,,"29,381,337"
5015,LR,DO,"10,383,138",0,0,0,0,0,0,0,0,0,0,0,0,0,,"10,383,138"
5015,MB,DO,0,0,"4,793,246",0,0,0,0,0,"1,390,926",0,0,0,0,0,,"6,184,172"
5016,MB,DO,0,0,"2,236,460",0,0,0,0,0,0,0,0,0,0,"6,563",,"2,243,023"
5017,DR,DO,0,0,"95,255","150,592",0,0,0,0,0,0,0,0,0,0,,"245,847"
